02-01 16:53:50.688 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=71 lmb=.11E0 alpha=.1E1 obj=0.3009 imp=.14E-6 bdf=.51E-3] train deviance = 0.6122447792030633, valid deviance = 0.6052856794001413
02-01 16:53:50.714 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=83 lmb=.63E-1 alpha=.1E1 obj=0.2741 imp=.37E-7 bdf=.34E-3] train deviance = 0.5843695433634276, valid deviance = 0.5751245635987512
02-01 16:53:50.714 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=83 lmb=.57E-1 alpha=.1E1 obj=0.2705 imp=.37E-7 bdf=.34E-3] Got 20 active columns out of 20 total
02-01 16:53:50.715 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=83 lmb=.57E-1 alpha=.1E1 obj=0.2705 imp=.37E-7 bdf=.34E-3] computed in 0+1=1ms, step = 1
02-01 16:53:50.716 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=84 lmb=.57E-1 alpha=.1E1 obj=0.2704 imp=.19E-3 bdf=.24E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.717 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=85 lmb=.57E-1 alpha=.1E1 obj=0.2704 imp=.36E-7 bdf=.31E-3] relImprovement < eps; relImprovement = 3.5637978696726194E-8, eps = 1.0E-4
02-01 16:53:50.717 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.718 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=85 lmb=.57E-1 alpha=.1E1 obj=0.2704 imp=.36E-7 bdf=.31E-3] solution has 10 nonzeros
02-01 16:53:50.718 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=85 lmb=.57E-1 alpha=.1E1 obj=0.2704 imp=.36E-7 bdf=.31E-3] train deviance = 0.5815965289218787, valid deviance = 0.5721316972605053
02-01 16:53:50.719 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=85 lmb=.52E-1 alpha=.1E1 obj=0.2671 imp=.36E-7 bdf=.31E-3] Got 20 active columns out of 20 total
02-01 16:53:50.719 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=85 lmb=.52E-1 alpha=.1E1 obj=0.2671 imp=.36E-7 bdf=.31E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.720 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=86 lmb=.52E-1 alpha=.1E1 obj=0.267 imp=.16E-3 bdf=.22E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.721 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=87 lmb=.52E-1 alpha=.1E1 obj=0.267 imp=.31E-7 bdf=.27E-3] relImprovement < eps; relImprovement = 3.102465811088531E-8, eps = 1.0E-4
02-01 16:53:50.721 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.721 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=87 lmb=.52E-1 alpha=.1E1 obj=0.267 imp=.31E-7 bdf=.27E-3] solution has 11 nonzeros
02-01 16:53:50.722 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=87 lmb=.52E-1 alpha=.1E1 obj=0.267 imp=.31E-7 bdf=.27E-3] train deviance = 0.5791337934438813, valid deviance = 0.5694529930147566
02-01 16:53:50.722 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=87 lmb=.48E-1 alpha=.1E1 obj=0.2639 imp=.31E-7 bdf=.27E-3] Got 20 active columns out of 20 total
02-01 16:53:50.722 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=87 lmb=.48E-1 alpha=.1E1 obj=0.2639 imp=.31E-7 bdf=.27E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.724 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=88 lmb=.48E-1 alpha=.1E1 obj=0.2639 imp=.16E-3 bdf=.23E-1] computed in 2+0=2ms, step = 1
02-01 16:53:50.725 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=89 lmb=.48E-1 alpha=.1E1 obj=0.2639 imp=.21E-7 bdf=.27E-3] relImprovement < eps; relImprovement = 2.0636835711432E-8, eps = 1.0E-4
02-01 16:53:50.725 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.725 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=89 lmb=.48E-1 alpha=.1E1 obj=0.2639 imp=.21E-7 bdf=.27E-3] solution has 12 nonzeros
02-01 16:53:50.726 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=89 lmb=.48E-1 alpha=.1E1 obj=0.2639 imp=.21E-7 bdf=.27E-3] train deviance = 0.5767508449184048, valid deviance = 0.5669456281741628
02-01 16:53:50.726 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=89 lmb=.43E-1 alpha=.1E1 obj=0.2609 imp=.21E-7 bdf=.27E-3] Got 20 active columns out of 20 total
02-01 16:53:50.726 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=89 lmb=.43E-1 alpha=.1E1 obj=0.2609 imp=.21E-7 bdf=.27E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.727 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=90 lmb=.43E-1 alpha=.1E1 obj=0.2609 imp=.15E-3 bdf=.23E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.728 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=91 lmb=.43E-1 alpha=.1E1 obj=0.2609 imp=.39E-7 bdf=.21E-3] relImprovement < eps; relImprovement = 3.893046478367464E-8, eps = 1.0E-4
02-01 16:53:50.728 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.728 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=91 lmb=.43E-1 alpha=.1E1 obj=0.2609 imp=.39E-7 bdf=.21E-3] solution has 12 nonzeros
02-01 16:53:50.729 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=91 lmb=.43E-1 alpha=.1E1 obj=0.2609 imp=.39E-7 bdf=.21E-3] train deviance = 0.5745630620300265, valid deviance = 0.5646908624590165
02-01 16:53:50.729 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=91 lmb=.39E-1 alpha=.1E1 obj=0.2581 imp=.39E-7 bdf=.21E-3] Got 20 active columns out of 20 total
02-01 16:53:50.729 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=91 lmb=.39E-1 alpha=.1E1 obj=0.2581 imp=.39E-7 bdf=.21E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.730 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=92 lmb=.39E-1 alpha=.1E1 obj=0.2581 imp=.13E-3 bdf=.2E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.731 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=93 lmb=.39E-1 alpha=.1E1 obj=0.2581 imp=.32E-7 bdf=.21E-3] relImprovement < eps; relImprovement = 3.210914052376311E-8, eps = 1.0E-4
02-01 16:53:50.731 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.731 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=93 lmb=.39E-1 alpha=.1E1 obj=0.2581 imp=.32E-7 bdf=.21E-3] solution has 12 nonzeros
02-01 16:53:50.731 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=93 lmb=.39E-1 alpha=.1E1 obj=0.2581 imp=.32E-7 bdf=.21E-3] train deviance = 0.5726646506322431, valid deviance = 0.5626951052705488
02-01 16:53:50.731 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=93 lmb=.36E-1 alpha=.1E1 obj=0.2555 imp=.32E-7 bdf=.21E-3] Got 20 active columns out of 20 total
02-01 16:53:50.731 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=93 lmb=.36E-1 alpha=.1E1 obj=0.2555 imp=.32E-7 bdf=.21E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.732 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=94 lmb=.36E-1 alpha=.1E1 obj=0.2555 imp=.11E-3 bdf=.18E-1] computed in 1+0=1ms, step = 1
02-01 16:53:50.734 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=95 lmb=.36E-1 alpha=.1E1 obj=0.2555 imp=.33E-7 bdf=.18E-3] relImprovement < eps; relImprovement = 3.30814934663284E-8, eps = 1.0E-4
02-01 16:53:50.734 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 2 iterations (1)
02-01 16:53:50.735 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=95 lmb=.36E-1 alpha=.1E1 obj=0.2555 imp=.33E-7 bdf=.18E-3] solution has 12 nonzeros
02-01 16:53:50.735 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=95 lmb=.36E-1 alpha=.1E1 obj=0.2555 imp=.33E-7 bdf=.18E-3] train deviance = 0.571054107380578, valid deviance = 0.5609984487262386
02-01 16:53:50.735 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=95 lmb=.33E-1 alpha=.1E1 obj=0.2531 imp=.33E-7 bdf=.18E-3] Got 20 active columns out of 20 total
02-01 16:53:50.735 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=95 lmb=.33E-1 alpha=.1E1 obj=0.2531 imp=.33E-7 bdf=.18E-3] computed in 0+0=0ms, step = 1
02-01 16:53:50.736 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=96 lmb=.33E-1 alpha=.1E1 obj=0.2531 imp=.97E-4 bdf=.17E-1] relImprovement < eps; relImprovement = 9.691138288964473E-5, eps = 1.0E-4
02-01 16:53:50.736 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: DONE after 1 iterations (1)
02-01 16:53:50.736 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=96 lmb=.33E-1 alpha=.1E1 obj=0.2531 imp=.97E-4 bdf=.17E-1] solution has 12 nonzeros
02-01 16:53:50.737 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=96 lmb=.33E-1 alpha=.1E1 obj=0.2531 imp=.97E-4 bdf=.17E-1] train deviance = 0.5696920881508636, valid deviance = 0.5595583105205826
02-01 16:53:50.737 127.0.0.1:54321       2040      FJ-4-19  INFO water.default: GLM[dest=metalearner_AUTO_StackedEnsemble_AllModels_1_AutoML_1_20260201_163031_cv_4, iter=96 lmb=.3E-1 alpha=.1E1 obj=0.2508 imp=.97E-4 bdf=.17E-1] Got 20 active columns out of 20 total
